Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,LoanAmount_log,Total_Income_log
Male,No,0,Graduate,No,128.0,360.0,1.0,Urban,1,5849.0,4.852030263919617,8.674025985443025
Male,Yes,1,Graduate,No,128.0,360.0,1.0,Rural,0,6091.0,4.852030263919617,8.714567550836485
Male,Yes,0,Graduate,Yes,66.0,360.0,1.0,Urban,1,3000.0,4.189654742026425,8.006367567650246
Male,Yes,0,Not Graduate,No,120.0,360.0,1.0,Urban,1,4941.0,4.787491742782046,8.50532301884575
Male,No,0,Graduate,No,141.0,360.0,1.0,Urban,1,6000.0,4.948759890378168,8.699514748210191
Male,Yes,2,Graduate,Yes,267.0,360.0,1.0,Urban,1,9613.0,5.58724865840025,9.170871628065816
Male,Yes,0,Not Graduate,No,95.0,360.0,1.0,Urban,1,3849.0,4.553876891600541,8.255568653283746
Male,Yes,3,Graduate,No,158.0,360.0,0.0,Semiurban,0,5540.0,5.062595033026967,8.61974977974133
Male,Yes,2,Graduate,No,168.0,360.0,1.0,Urban,1,5532.0,5.123963979403259,8.61830469278465
Male,Yes,1,Graduate,No,349.0,360.0,1.0,Semiurban,0,23809.0,5.855071922202427,10.077818939438902
Male,Yes,2,Graduate,No,70.0,360.0,1.0,Urban,1,3900.0,4.248495242049359,8.268731832117737
Male,Yes,2,Graduate,No,109.0,360.0,1.0,Urban,1,4340.0,4.6913478822291435,8.375629627094451
Male,Yes,2,Graduate,No,200.0,360.0,1.0,Urban,1,11179.0,5.298317366548036,9.321792297270326
Male,No,0,Graduate,No,114.0,360.0,1.0,Rural,0,4693.0,4.736198448394496,8.453827315794417
Male,Yes,2,Graduate,No,17.0,120.0,1.0,Urban,1,2385.0,2.833213344056216,7.776954403322442
Male,No,0,Graduate,No,125.0,360.0,1.0,Urban,1,4950.0,4.8283137373023015,8.507142855562735
Male,No,1,Not Graduate,No,100.0,240.0,1.0,Urban,1,3596.0,4.605170185988092,8.18757739559151
Female,No,0,Graduate,No,76.0,360.0,0.0,Urban,0,3510.0,4.330733340286331,8.163371316459912
Male,Yes,0,Not Graduate,No,133.0,360.0,1.0,Rural,0,4887.0,4.890349128221754,8.494333897270154
Male,Yes,0,Graduate,No,115.0,360.0,1.0,Urban,1,6100.0,4.74493212836325,8.716044050161402
Male,Yes,0,Not Graduate,No,104.0,360.0,0.0,Urban,0,7660.0,4.6443908991413725,8.943767262734637
Male,Yes,1,Graduate,No,315.0,360.0,1.0,Urban,1,11580.0,5.752572638825633,9.357034751126987
Male,Yes,0,Not Graduate,No,116.0,360.0,0.0,Semiurban,0,4511.0,4.7535901911063645,8.414274137408396
Male,Yes,2,Not Graduate,No,112.0,360.0,0.0,Rural,0,5282.0,4.718498871295094,8.572060092857077
